1001    4   000.0   500.0   200.0   500.0   300.0   700.0   000.0  1000.0 
1002    5   000.0  1000.0   300.0   700.0   500.0   800.0   700.0   700.0  1000.0  1000.0 
1003    4   700.0   700.0   800.0   500.0  1000.0   500.0  1000.0  1000.0
1004    3   300.0   700.0   700.0   700.0   500.0   800.0
1005    3   200.0   500.0   300.0   300.0   300.0   700.0
1006    3   300.0   300.0   400.0   500.0   300.0   700.0
1007    3   300.0   700.0   500.0   600.0   700.0   700.0
1008    3   600.0   500.0   700.0   300.0   700.0   700.0
1009    3   700.0   300.0   800.0   500.0   700.0   700.0
1010    8   300.0   700.0   400.0   500.0   300.0   300.0   500.0   400.0   700.0   300.0   600.0   500.0   700.0   700.0   500.0   600.0
1011    4   000.0   000.0   300.0   300.0   200.0   500.0   000.0   500.0 
1012    3   300.0   300.0   700.0   300.0   500.0   400.0
1013    3   300.0   300.0   500.0   200.0   700.0   300.0
1014    4   700.0   300.0  1000.0   000.0  1000.0   500.0   800.0   500.0 
1015    5   000.0   000.0  1000.0   000.0   700.0   300.0   500.0   200.0   300.0   300.0
